,Name,Latitude,Longitude
0,Bellavista,37.335018413019284,-5.972330273896197
1,El Plantinar,37.374396702043164,-5.972093551317675
2,El Cerro,37.372245737319496,-5.958408767715507
3,Retiro Obrero,37.4024573230441,-5.9791577380943775
4,La Oliva,37.365468434104734,-5.969883199984256
5,Bda. Pino Montano,37.42309799135725,-5.968294634233552
6,Torreblanca,37.399933402502725,-5.911995000356989
7,Isla de Garza,37.30950575217522,-6.025354258721711
8,Tablada,37.34741276288994,-6.006503099345784
9,Las Almenas,37.415530212474046,-5.964339507941103
10,Triana Oeste,37.39840413657745,-6.009099290356142
11,Los Remedios,37.37423571308545,-5.999089566551655
12,"El Cano, Los Bermejales",37.34546956019327,-5.978849999640631
13,El Porvenir,37.3712026039152,-5.982424553622384
14,"Pedro Salvador, Las Palmeritas",37.35591863528494,-5.976195241710314
15,Nervión,37.3824659996446,-5.965986618994715
16,San Bartolomé,37.3885255481549,-5.98721702024097
17,"Doctor Barraquer, G. Renfe, Policlínico",37.40592250996837,-5.99115867869914
18,Los Pájaros,37.38403092637539,-5.9565508084896335
19,San Pablo C,37.39534230144142,-5.961384244540202
20,El Gordillo,37.4375539638571,-5.940061867596651
21,"El Tardón, El Carmen",37.375986006736895,-6.010761694956495
22,"Sector Sur, La Palmera, Reina Mercedes",37.360660812808455,-5.988271744978645
23,Bami,37.359799026535704,-5.97787949612125
24,"Tiro de Línea, Santa Genoveva",37.36905814402019,-5.975320547807309
25,"Felipe II, Los Diez Mandamientos",37.37104070177199,-5.972883893363382
26,Rochelambert,37.375241854232044,-5.954151790385033
27,Feria,37.397699759995774,-5.990897550049356
28,"Macarena 3 Huertas, Macarena 5",37.40995439396759,-5.990152928749402
29,El Rocío,37.408132627152135,-5.9819044032706
30,"Los Príncipes, La Fontanilla",37.41501898296126,-5.977188068109023
31,Las Huertas,37.39862024547792,-5.966956256245344
32,"Santa María de Ordas, San Nicolás",37.40330127496122,-5.974862523217647
33,Arbol Gordo,37.40090061758092,-5.973118762469501
34,"Santa Aurelia, Cantábrico, Atlántico, La Romería",37.38281306941452,-5.947948060465017
35,Santa Cruz,37.382573075782474,-5.991876086121894
36,Giralda Sur,37.37474817932907,-5.976729325485302
37,La Plata,37.370085209818406,-5.948513406071922
38,Triana Casco Antiguo,37.384773192886925,-6.0029781040176
39,Museo,37.39050896444776,-6.0021959079843645
40,La Florida,37.38656865264765,-5.983389837414026
41,San Lorenzo,37.40010773864152,-5.997295637548754
42,"La Paz, Las Golondrinas",37.41189451686976,-5.987861966602754
43,"Hermandades, La Carrasca",37.4094090718023,-5.980845286662983
44,Polígono Norte,37.412367068999075,-5.979747742759539
45,La Barzola,37.40642455894206,-5.980739799983332
46,Los Arcos,37.40858290119046,-5.968049439604323
47,Amate,37.37865931429695,-5.957249322466335
48,Juan XXIII,37.37631599376981,-5.948726112731092
49,Triana Este,37.380010184496825,-6.004383826513851
50,San Vicente,37.395722588151294,-6.001314278573534
51,"Encarnación, Regina",37.39412366911728,-5.99370278372933
52,Barrio León,37.37937333724804,-6.012441227021758
53,San Roque,37.390738029380834,-5.982235390209689
54,San Julián,37.39783915629815,-5.985334354675858
55,"Carretera de Carmona, María Auxiliadora, Fontanal",37.397539255325384,-5.978605973732934
56,San José Obrero,37.39472211033552,-5.9775813416220585
57,San Gil,37.40168186977231,-5.9907074583428805
58,"Cisneo Alto, Santa María de Gracia",37.4034663955212,-5.970898561934642
59,"Cruz Roja, Capuchinos",37.40062454423091,-5.98096830996237
60,"León XIII, Los Naranjos",37.40417749478563,-5.984000565941709
61,San Jerónimo,37.423617941318774,-5.985372789360052
62,La Bachillera,37.43668604905414,-5.991327327428614
63,Santa Clara,37.39482437732739,-5.952191504029829
64,Pino Flores,37.40791713504242,-5.972670729891765
65,Los Carteros,37.41309488828271,-5.9711982886084405
66,Parque Alcosa,37.40795410013044,-5.931999713844566
67,Heliópolis,37.35457565607878,-5.9838673308001145
68,Ciudad Jardín,37.37774868137061,-5.96409207855153
69,Alfalfa,37.39082961359298,-5.993319160687416
70,San Bernardo,37.38226037916946,-5.984133396828945
71,La Calzada,37.388901420356454,-5.977401053993778
72,"La Palmilla, Doctor Marañón",37.40825710467543,-5.986696159746047
73,Huerta de Santa Teresa,37.390629610294816,-5.9716573942050974
74,Pío XII,37.40518618411956,-5.978141772701015
75,Villegas,37.410477736035986,-5.975263974799658
76,San Matías,37.403847279553176,-5.967758595265772
77,"Prado, Parque María Luisa",37.37468133743892,-5.9883502498733705
78,Las Letanías,37.36267952402323,-5.964809346288112
79,Avda. de la Paz,37.364671876872656,-5.963675555683187
80,"El Juncal, Híspalis",37.368645815151176,-5.962463277027016
81,La Buhaira,37.3824559905779,-5.9744882223287945
82,Santa Catalina,37.393407772085766,-5.985656994460353
83,Las Avenidas,37.410712253521325,-5.985273442285405
84,El Carmen,37.40629036148006,-5.984372212372408
85,"El Torrejón, El Cerezo",37.41003842359375,-5.983477306259985
86,San Pablo A y B,37.39324800158294,-5.966690621792668
87,"San Carlos, Tartessos",37.39881720013334,-5.97191243736319
88,Zodiaco,37.40144853068186,-5.970193644477251
89,La Corza,37.40205431977326,-5.967692980355911
90,"Begoña, Santa Catalina",37.407796565927306,-5.9755983732490305
91,San Diego,37.41188966741945,-5.968764366340914
92,San Pablo D y E,37.39944698962682,-5.958851734673484
93,"Tabladilla, La Estrella",37.365209597355786,-5.9802888313693225
94,Huerta de la Salud,37.37592552147005,-5.981445389133535
95,Bda. de Pineda,37.350686443505296,-5.968197323138557
96,"Las Naciones, Parque Atlántico, Las Dalias",37.404896612466224,-5.9663098575154025
97,Polígono Sur,37.36019110739332,-5.957302575091522
98,Arenal,37.38609378995161,-5.997497291757254
99,Huerta del Pilar,37.38576167400343,-5.978586895297349
100,Campos de Soria,37.40598396669849,-5.971389921779736
101,"Santa Justa y Rufina, Parque Miraflores",37.4098454398524,-5.972914850424004
102,Consolación,37.41723030902292,-5.967664005450866
103,Aeropuerto Viejo,37.41589557107629,-5.946192248490426
104,"Palacio Congresos, Urbadiez, Entrepuentes, Jardines del Edén",37.396031760289084,-5.936959245179002
105,"Colores, Entreparques",37.39261513783648,-5.873558688904275
106,Valdezorras,37.42794343094115,-5.914068934138992
107,Palmete,37.37772980012499,-5.9311189108936535
